scientific,ENG_common,FR_common
Larus delawarensis,Ring-billed Gull,Goéland ŕ bec cerclé
Sturnus vulgaris,European Starling,Étourneau sansonnet
Setophaga petechia,Yellow Warbler,Paruline jaune
Vireo gilvus,Warbling Vireo,Viréo mélodieux
Empidonax minimus,Least Flycatcher,Moucherolle tchébec
Bombycilla cedrorum,Cedar Waxwing,Jaseur d'Amérique
Vireo olivaceus,Red-eyed Vireo,Viréo aux yeux rouges
Charadrius vociferus,Killdeer,Pluvier kildir
Agelaius phoeniceus,Red-winged Blackbird,Carouge ŕ épaulettes
Corvus brachyrhynchos,American Crow,Corneille d'Amérique
Certhia americana,Brown Creeper,Grimpereau brun
Poecile atricapillus,Black-capped Chickadee,Mésange ŕ tęte noire
Icterus galbula,Baltimore Oriole,Oriole de Baltimore
Turdus migratorius,American Robin,Merle d'Amérique
Cardinalis cardinalis,Northern Cardinal,Cardinal rouge
Contopus virens,Eastern Wood-Pewee,Pioui de l'est
Branta canadensis,Canada Goose,Bernache du Canada
Chaetura pelagica,Chimney Swift,Martinet ramoneur
Spizella passerina,Chipping Sparrow,Bruant familier
Setophaga ruticilla,American Redstart,Paruline flamboyante
Spinus tristis,American Goldfinch,Chardonneret jaune
Molothrus ater,Brown-headed Cowbird,Vacher ŕ tęte brune
Falco columbarius,Merlin,Faucon émerillon
Setophaga pensylvanica,Chestnut-sided Warbler,Paruline ŕ flancs marron
Cardellina canadensis,Canada Warbler,Paruline du Canada
Melospiza melodia,Song Sparrow,Bruant chanteur
Setophaga magnolia,Magnolia Warbler,Paruline ŕ tęte cendrée
Tyrannus tyrannus,Eastern Kingbird,Tyran tritri
Quiscalus quiscula,Common Grackle,Quiscale bronzé
Sitta carolinensis,White-breasted Nuthatch,Sittelle ŕ poitrine blanche
Passerina cyanea,Indigo Bunting,Passerin indigo
Dryobates pubescens,Downy Woodpecker,Pic mineur
Colaptes auratus,Northern Flicker,Pic flamboyant
Regulus satrapa,Golden-crowned Kinglet,Roitelet ŕ couronne dorée
Haemorhous mexicanus,House Finch,Roselin familier
Sialia sialis,Eastern Bluebird,Merlebleu de l'Est
Myiarchus crinitus,Great Crested Flycatcher,Tyran huppé
Leuconotopicus villosus,Hairy Woodpecker,Pic chevelu
Sitta canadensis,Red-breasted Nuthatch,Sittelle ŕ poitrine rousse
Dumetella carolinensis,Gray Catbird,Moqueur chat
Toxostoma rufum,Brown Thrasher,Moqueur roux
Corvus corax,Common Raven,Grand corbeau
Passer domesticus,House Sparrow,Moineau domestique
Mniotilta varia,Black-and-white Warbler,Paruline noire et blanc
Cyanocitta cristata,Blue Jay,Geai bleu
Leiothlypis ruficapilla,Nashville Warbler,Paruline ŕ joeus grises
Zonotrichia leucophrys,White-crowned Sparrow,Bruant ŕ couronne blanche
Setophaga castanea,Bay-breasted Warbler,Paruline ŕ poitrine baie
Zenaida macroura,Mourning Dove,Tourterelle triste
Progne subis,Purple Martin,Hirondelle noire
Leiothlypis peregrina,Tennessee Warbler,Paruline obscure
Setophaga coronata,Yellow-rumped Warbler,Paruline ŕ croupion jaune
Pheucticus ludovicianus,Rose-breasted Grosbeak,Cardinal ŕ poitrine rose
Troglodytes aedon brunneicollis,Northern House Wren,Troglodyte ŕ gorge brune
Buteo lineatus,Red-shouldered Hawk,Buse ŕ épaulettes
Geothlypis trichas,Common Yellowthroat,Paruline masquée
Setophaga tigrina,Cape May Warbler,Paruline tigrée
Haemorhous purpureus,Purple Finch,Roselin pourpré
Vireo solitarius,Blue-headed Vireo,Viréo ŕ tęte bleue
Sturnella magna,Eastern Meadowlark,Sturnelle des prés
Falco sparverius,American Kestrel,Crécerelle d'Amérique
Junco hyemalis,Dark-eyed Junco,Junco ardoisé
Setophaga virens,Black-throated Green Warbler,Paruline ŕ gorge noire
Empidonax flaviventris,Yellow-bellied Flycatcher,Moucherolle ŕ ventre jaune
Chordeiles minor,Common Nighthawk,Engoulevent d'Amérique
Hesperiphona vespertina,Evening Grosbeak,Grosbec errant
Troglodytes hiemalis,Winter Wren,Troglodyte des foręts
Catharus ustulatus,Swainson's Thrush,Grive ŕ dos olive
Spinus pinus,Pine Siskin,Tarin des pins
Zonotrichia albicollis,White-throated Sparrow,Bruant ŕ gorge blanche
Anas platyrhynchos,Mallard,Canard colvert
Hirundo rustica ,Barn Swallow,Hirondelle rustique Hirondelle de cheminée
Setophaga striata,Blackpoll Warbler,Paruline rayée
Columba livia,Rock Pigeon,Pigeon biset
Piranga olivacea,Scarlet Tanager,Tangara écarlate ou Piranga écarlate
Seiurus aurocapilla,Ovenbird,Paruline couronnée
Setophaga fusca,Blackburnian Warbler,Paruline ŕ gorge orangée
Stelgidopteryx serripennis,Northern Rough-winged Swallow,Hirondelle ŕ ailes hérissées
Sayornis phoebe,Eastern Phoebe,Moucherolle phébi
Dryocopus pileatus,Pileated Woodpecker,Grand pic
Vireo philadelphicus,Philadelphia Vireo,Viréo de Philadelphie
Sterna hirundo,Common Tern,Sterne pierregarin
Hylocichla mustelina,Wood Thrush,Grive des bois
With the help of: https://www.oiseaux.net/,,
